정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
한진204동앞,127.0099708717,37.5964074304,"1",돈암2동,127.01058094036,37.5980162520587
스카이프라자앞.111동,127.0106213583,37.5948653958,"1",돈암2동,127.01058094036,37.5980162520587
본교회앞,127.011591534,37.5887041426,"1",삼선동,127.01467420945,37.5908367124693
고려삼계탕,127.0146889664,37.5896811242,"1",삼선동,127.01467420945,37.5908367124693
돈암초등학교,127.0124165365,37.591503419,"1",성북동,127.003279061117,37.5910502132448
국민은행동소문동점,127.0103075173,37.5903966753,"1",성북동,127.003279061117,37.5910502132448
스카이프라자앞.111동앞,127.0104348089,37.5944960762,"1",돈암2동,127.01058094036,37.5980162520587
한진206동앞,127.0107214171,37.5954940107,"1",돈암2동,127.01058094036,37.5980162520587
한진202동앞,127.009608452,37.5964989262,"1",돈암2동,127.01058094036,37.5980162520587
한신301동앞,127.0090098256,37.5962156497,"1",돈암2동,127.01058094036,37.5980162520587
동구마케팅고후문,127.008330156,37.5935898735,"1",성북동,127.003279061117,37.5910502132448
삼영탕앞,127.0100603039,37.5888242053,"1",삼선동,127.01467420945,37.5908367124693
돈암시장,127.0135507441,37.5913543606,"1",삼선동,127.01467420945,37.5908367124693
경동고입구,127.0175922891,37.5878057782,"1",삼선동,127.01467420945,37.5908367124693
경동고앞,127.0149100838,37.5870263886,"1",삼선동,127.01467420945,37.5908367124693
삼선노인정,127.0138717308,37.5863750379,"1",삼선동,127.01467420945,37.5908367124693
4호선성신여대역,127.0164897918,37.5922969323,"1",삼선동,127.01467420945,37.5908367124693
성신여대정문앞,127.019767711,37.590763709,"1",동선동,127.020422471545,37.5939965377109
고려대이공대,127.025052,37.58619,"1",안암동,127.021362226117,37.5858333806287
고대사거리,127.0322853421,37.5863099908,"1",안암동,127.021362226117,37.5858333806287
정수빌라,127.0077703242,37.603465096,"1",정릉2동,127.011148093004,37.6044745007088
구.정릉3동주민센터,127.0059255144,37.6095092124,"1",정릉3동,127.00418588228,37.6089582782412
정릉시장입구.정릉약국,127.0097499347,37.6084222209,"1",정릉4동,127.00699953542,37.6133765955324
정릉4동종점,127.0101608358,37.6129500434,"1",정릉4동,127.00699953542,37.6133765955324
KEB하나은행.오렌지마트,127.0091623713,37.6113646503,"1",정릉4동,127.00699953542,37.6133765955324
오렌지마트,127.0093281536,37.6113721233,"1",정릉4동,127.00699953542,37.6133765955324
