분류,시설명,행정동
간이운동장,봉은역사공원,삼성1동
간이운동장,불광근린공원,불광제1동
간이운동장,불로천약수터,시흥제1동
야구장,살곶이야구장,사근동
간이운동장,삼성까치공원,혜화동
간이운동장,삼성목련공원,혜화동
간이운동장,삼성체육공원,시흥제1동
간이운동장,상계근린공원,상계1동
간이운동장,상암근린공원,상암동
간이운동장,새뜰근린공원,역삼1동
간이운동장,샘터근린공원,삼성1동
간이운동장,샛터근린공원,성산제1동
간이운동장,서광등촌마을,등촌제1동
간이운동장,성산근린공원,성산제1동
간이운동장,솔밭근린공원,공릉1동
간이운동장,송운근린공원,역삼1동
테니스장,송파테니스장,송파1동
간이운동장,시호천약수터,시흥제1동
체육관,신림체육센터,서원동
간이운동장,신사근린공원,신사제1동
간이운동장,신사근린공원,신사동
간이운동장,신사목련공원,신사제1동
야구장,신월야구공원,신월1동
간이운동장,쌍문근린공원,쌍문제1동
간이운동장,쌍문근린공원,쌍문제1동
간이운동장,쌍문근린공원,방학제1동
간이운동장,쌍문근린공원,쌍문제1동
간이운동장,쌍문근린공원,쌍문제1동
간이운동장,아크로비스타,서초1동
간이운동장,암산입구공원,양재1동
간이운동장,약청수약수터,시흥제1동
간이운동장,양재근린공원,양재1동
간이운동장,양재천수영장,양재1동
간이운동장,언덕배기공원,자양제1동
간이운동장,언주근린공원,역삼1동
간이운동장,역삼문화공원,역삼1동
간이운동장,역삼장미공원,역삼1동
간이운동장,염창금호타운,염창동
간이운동장,영동근린공원,역삼1동
간이운동장,오금풋살구장,오금동
간이운동장,오동근린공원,길음제2동
테니스장,오륜테니스장,방이1동
간이운동장,온수근린공원,상계1동
간이운동장,옹달샘약수터,시흥제1동
간이운동장,와우근린공원,서강동
테니스장,우장테니스장,화곡제1동
간이운동장,원터근린공원,상계1동
간이운동장,월천근린공원,창제1동
간이운동장,은곡마을공원,세곡동
간이운동장,응봉근린공원,한남동
간이운동장,응봉근린공원,한남동
간이운동장,응봉근린공원,한남동
테니스장,응봉테니스장,응봉동
간이운동장,일원까치공원,개포2동
간이운동장,일원까치공원,개포2동
간이운동장,일원목련공원,개포2동
