,주차장id,주차장이름,주소,경도,위도
242,27113495,국제화재빌딩 옆 노상공영주차장,서울 중구 남대문로5가 145,126.975947540632,37.5581146499673
243,20582970,중구노상공영주차장,서울 중구 남대문로5가 84-11,126.974263704138,37.557407913081
244,26864713,남산파출소 노상공영주차장,서울 중구 회현동1가 산 1-16,126.982096101524,37.55491720140114
245,232437508,그린빌딩 앞 공영주차장,서울 중구 남대문로5가 381-5,126.976216164508,37.5568767340777
246,27220106,남대문피혁상가남측 공영주차장,서울 중구 봉래동1가 13-1,126.97260521960476,37.55864100512644
247,25611915,한진면세점앞 노상공영주차장,서울 중구 남대문로5가 533,126.975287240532,37.5561287154106
248,23371112,남산공원소파로 관광버스주차장,서울 중구 남창동 205-107,126.977740882535,37.556057123668
249,20514239,백범광장 주차장,서울 중구 회현동1가 100-115,126.98058412419,37.5548863285309
250,20514233,남산동공영주차장,서울 중구 남산동2가 30-4,126.985544773546,37.559201015571
252,684053055,남산케이블카 공영주차장,서울 중구 회현동1가 산 1-2,126.983809308238,37.5559608040164
255,1031631141,남산소파길노상공영주차장,서울 중구 예장동 8-172,126.986025051115,37.5570675119607
256,20514469,뉴국제호텔앞 노상공영주차장,서울 중구 태평로1가 18-3,126.97819909797069,37.568191831463764
259,26535504,다동공원제4부지 공영주차장,서울 중구 다동 39-3,126.98025060835005,37.56823607572706
260,443250735,한국관광공사 옆 노상 공영주차장 전기차충전소,서울 중구 다동 85-4,126.982029539238,37.5681816647107
262,27113493,청소년회관뒤노상공영주차장,서울 중구 수표동 50-1,126.989821839367,37.56729961782
263,20577520,주차장,서울 중구 회현동1가 산 1-15,126.983784441167,37.5558166409929
264,20514503,다동쉼터주차장,서울 중구 다동 46-1,126.980037419399,37.567918253925
265,20588263,필동공영주차장,서울 중구 필동3가 62-12,126.99586118817399,37.55657001488185
266,17939306,남산한옥마을 공영주차장,서울 중구 필동2가 83-1,126.993218239908,37.55999818704
267,1360293683,돈화문로공영주차장,서울 중구 충무로3가 39-2,126.993009755431,37.5624903319097
268,1178869354,노상공영주차장,서울 중구 충무로3가 39-2,126.993053923964,37.5622020156083
269,20563303,장충공영주차장,서울 중구 장충동2가 193-39,127.001091056694,37.5599407129646
270,20582973,청구공영주차장,서울 중구 신당동 330-17,127.01339356519392,37.55896688153645
272,160991949,신당누리센터 공영주차장,서울 중구 신당동 300-6,127.014442187913,37.5620139293275
273,23881953,문화공영주차장,서울 중구 신당동 425-1,127.01101871747682,37.556529028388034
274,21841477,묵정공원지하 공영주차장,서울 중구 충무로5가 21,127.000389360551,37.5639411424982
277,703953898,노상공영주차장,서울 중구 오장동 148-14,127.000611211199,37.564636710696
279,26924347,다산동공영주차장,서울 중구 신당동 432-2835,127.008619172052,37.5544839633085
282,2101985345,노상공영주차장,서울 중구 을지로4가 124-3,127.000080365273,37.5667954988448
289,25612845,진양상가옆노상공영주차장,서울 중구 충무로4가 120-11,126.99616985626038,37.56242740695782
291,20577501,중구공영주차장,서울 중구 인현동2가 192-19,126.995531420833,37.5637356314043
292,424694700,마른내길 노상공영주차장,서울 중구 인현동2가 192-68,126.995241634052,37.5642212571075
294,1833015486,진양상가 인공도로 노상공영주차장,서울 중구 인현동2가 192-56,126.995572176074,37.5635950775034
295,20516469,배오개길주차장,서울 중구 예관동 21-7,126.99830217221904,37.56546922053643
299,1929614836,을지로 공영주차장,서울 중구 을지로3가 282-8,126.994734407522,37.5663583984154
300,20577502,청계2공영주차장,서울 중구 입정동 181,126.99252029370543,37.56755930641352
303,20577494,노상공영주차장,서울 중구 을지로4가 44,126.99655675143269,37.566638675370456
305,696774112,마른내길공영주차장,서울 중구 인현동1가 87-10,126.994499110348,37.5644852167567
306,1870032787,대림상가옆 공영주차장,서울 중구 산림동 207-2,126.995427058271,37.5675234149571
308,490673387,노상공영주차장,서울 중구 주교동 179,126.997985175253,37.5680352519198
309,27212056,삼풍상가 노상공영주차장,서울 중구 인현동1가 2-21,126.99582108552977,37.565368247220704
310,273907540,청계2노상공영주차장,서울 중구 입정동 29-1,126.9942475406876,37.56831443763345
316,18515061,성동고등학교 공영주차장,서울 중구 신당동 161,127.022483500115,37.564580511658
317,1121146008,중구종합복지센터 공영주차장,서울 중구 신당동 160-2,127.023024672861,37.5650291034634
318,2017361368,GS타임즈 성동고공영주차장,서울 중구 신당동 161,127.02252764528009,37.564587711212745
321,10523147,동화동공영주차장,서울 중구 신당동 52-7,127.01901463008289,37.56137357382847
326,20588358,하왕십리공영주차장,서울 성동구 행당동 347-3,127.027923936788,37.5602870026887
327,20515242,도선동지하 노외공영주차장,서울 성동구 홍익동 369,127.031674694234,37.565515439533
345,18059829,손기정체육공원 공영주차장,서울 중구 만리동2가 6-1,126.964925473074,37.5551061627425
355,11512536,북아현동 제2공영주차장,서울 서대문구 북아현동 121-1,126.958458328896,37.5599910736653
358,26535460,서계동 공영주차장,서울 용산구 서계동 276-5,126.96433524861219,37.55160290602254
366,9075274,버티공영주차장,서울 중구 신당동 432-2277,127.006273795886,37.5490637060164
367,20518510,약수동공영주차장,서울 중구 신당동 349-234,127.013340303481,37.5522382373756
368,20517826,성곽공영 거주자우선주차장,서울 중구 신당동 432-2026,127.00482878626734,37.55047293562567
371,23882555,다산아트 공영주차장,서울 중구 신당동 432-612,127.00439090255819,37.5516334385531
372,20587828,충현공영주차장,서울 중구 신당동 432-462,127.005726319565,37.5521487523052
373,20515447,동산공영주차장,서울 중구 신당동 333-260,127.01589761536,37.556170776268196
380,1553858940,공영주차장,서울 중구 신당동 432-524,127.005202345752,37.5520875086792
381,634925071,버티공영주차장 여성안심택배보관함,서울 중구 신당동 432-1627,127.006305482331,37.5490709123175
382,590206094,그린존 다산아트공영주차장,서울 중구 신당동 432-1910,127.004390901924,37.5516226265744
384,37717414,약수동공영주차장 여성안심택배보관함,서울 중구 신당동 349-234,127.013331249358,37.5522346344057
392,20514032,금호초등학교 공영주차장,서울 성동구 금호동2가 511,127.01959512888146,37.552246375014604
399,404854652,금남시장 공영주차장,서울 성동구 금호동3가 294,127.02324586392432,37.54834078559581
401,219893256,동화동 공영주차장 전기차충전소,서울 중구 신당동 52-7,127.018960307366,37.5613925034959
402,20589210,후암동공영주차장,서울 용산구 후암동 65-4,126.976275911385,37.5504814630335
403,23371132,남산공원 관광버스주차장,서울 용산구 후암동 30-84,126.981838510217,37.5530953443997
404,18685493,용산2가(소월) 공영주차장,서울 용산구 용산동2가 11-13,126.98558353429446,37.54599779453936
405,20588673,해방촌 노외 공영주차장,서울 용산구 용산동2가 1-1497,126.984375345597,37.5443199803233
406,11475633,이태원2동공영주차장,서울 용산구 이태원동 227-9,126.992704061259,37.5402698941877
417,26564840,청파동1마을 공영주차장,서울 용산구 청파동3가 118-102,126.968592923786,37.5427671183227
420,289120341,시큐어파킹 청파동1마을공원공영주차장,서울 용산구 청파동3가 118-102,126.968592923786,37.5427671183227
421,1378704493,용산등기소앞공영주차장,서울 용산구 문배동 12-1,126.9695593332626,37.537021694455944
422,20517116,삼각지역공영주차장,서울 용산구 한강로1가 236-5,126.973687755554,37.5345332217356
425,1480150379,효창공원앞역 주차장,서울 용산구 용문동 5-46,126.96358795112691,37.53844899073003
427,11475918,한강로2가동 노상공영주차장,서울 용산구 한강로2가 412,126.9711909034225,37.53110793393493
428,1542526425,마포역 공영주차장,서울 용산구 한강로2가 12-12,126.965310855432,37.5342859859928
429,8015100,용산전자상가 제1공영주차장,서울 용산구 한강로3가 23-1,126.96418948236,37.5322169529945
430,26964842,효창공원1 노상공영주차장,서울 용산구 효창동 3-151,126.96210489111675,37.54678727502942
431,11520419,공덕1-1공영주차장,서울 마포구 공덕동 11-243,126.960982056013,37.5473347166635
432,18939849,용산전자상가 제5공영주차장,서울 용산구 한강로3가 1,126.96340803669422,37.533837614300815
433,1705223516,효창공원2 노상공영주차장,서울 용산구 효창동 255-1,126.96071202286764,37.546530936114536
434,18940828,용산전자상가 제4공영주차장,서울 용산구 원효로3가 50-2,126.960970880998,37.5340395591998
435,26535751,신창동공영주차장,서울 용산구 신창동 53-1,126.955163746389,37.5352736702736
436,20515267,도화공영주차장,서울 마포구 도화동 557,126.94993235272486,37.5415461333576
437,26537119,용문동공영주차장,서울 용산구 도원동 4-5,126.957619122207,37.538961470543
438,17285791,마포공영주차장,서울 마포구 마포동 36-1,126.942710803408,37.5388074151086
439,8024623,용산전자상가3 공영주차장,서울 용산구 한강로3가 19-2,126.96013442432,37.5325616381981
440,9166231,염리공영주차장,서울 마포구 염리동 174-3,126.945333640861,37.5418216019075
443,26094501,용산전자상가 제2공영주차장,서울 용산구 한강로3가 14-1,126.9630725886331,37.53266170359115
445,1897671425,용강4공영주차장,서울 마포구 용강동 45-15,126.943249501251,37.5401519671779
447,25625788,용강1공영주차장,서울 마포구 용강동 45-15,126.94053580243974,37.54202561227356
448,734714251,전자상가 제2공영주차장,서울 용산구 한강로3가 13,126.96347199794,37.5326023617339
457,11520424,공덕 1-2공영주차장,서울 마포구 공덕동 7-133,126.962257291722,37.5497570155294
466,11475903,한강쇼핑 공영주차장,서울 용산구 이촌동 301-5,126.971982311343,37.5204735959198
467,517730385,동작대교공영주차장,서울 용산구 용산동6가 69-11,126.98315696178693,37.517776312537826
468,101988450,거주자우선주차장,서울 용산구 한강로3가 65-154,126.96621804193,37.5247113052585
469,26210648,노상공영주차장,서울 용산구 한강로2가 412,126.969403978475,37.529558663014306
476,743539329,흑석빗물펌프장 공영노외주차장,서울 동작구 흑석동 105,126.962965703513,37.5085670499188
478,25612640,한강대교남측 노상공영주차장,서울 동작구 본동 5-5,126.956760452705,37.5132609763304
480,766908189,이촌한강공원1 주차장,서울 용산구 서빙고동 287-4,126.9921904215683,37.51796105996082
488,433823147,여의도한강공원 제1주차장,서울 영등포구 여의도동 86-5,126.93959649493,37.5225554036911
496,386344439,이태원1동 노상공영주차장,서울 용산구 이태원동 22-36,126.995705347642,37.5308996343737
497,1901728053,종합행정타운 부설주차장,서울 용산구 이태원동 34-87,126.990582345331,37.532431039138
498,11475634,한남동공영주차장,서울 용산구 한남동 685-46,127.000067885551,37.5350875654615
500,12416428,한강진역 공영주차장,서울 용산구 한남동 728-27,127.00255717328758,37.53950604386287
501,17682728,한남유수지 공영주차장,서울 용산구 한남동 522-44,127.007475934566,37.5298038580369
507,27168455,옥수역 공영주차장,서울 성동구 옥수동 401-1,127.01692773543907,37.54218713489532
510,27237636,잠원한강공원 잠원6주차장,서울 서초구 잠원동 121,127.008936277694,37.5184367098538
512,1893666564,이태원2동공영주차장 전기차충전소,서울 용산구 이태원동 227-9,126.99267237702693,37.54029151622501
513,27097403,그린존 이태원2동 공영주차장,서울 용산구 이태원동 227-9,126.99265879226,37.540359991378
517,2058102204,"반포한강공원 2,3주차장",서울 서초구 반포동 115-5,126.996097893442,37.5098882578825
522,540029717,반포한강공원 3주차장(더리버),서울 서초구 반포동 1335-4,126.98641673062,37.5066565379329
524,19305552,잠원동방음언덕형 공영주차장,서울 서초구 잠원동 10-33,127.01617185253278,37.51589871496135
527,1265112099,잠원한남대교 전망카페 공영주차장,서울 강남구 압구정동 386,127.015831033603,37.5249646532427
528,17766932,강남대로150길 노상공영주차장,서울 강남구 논현동 279-73,127.02074050692549,37.51588358502555
538,1407009685,잠원ON앞 공영주차장,서울 강남구 압구정동 386,127.018113243673,37.5267537155711
539,26826662,신구초교공영주차장,서울 강남구 신사동 550-11,127.02375377862415,37.52278650360073
590,303492920,코로나19 한남동 공영주차장 임시선별검사소,서울 용산구 한남동 685-46,127.00021836478349,37.534948811160525
591,638475487,한남동공영주차장 여성안심택배보관함,서울 용산구 한남동 685-46,127.000194604824,37.5349253851817
594,2111097708,한강진역 공영주차장 전기차충전소,서울 용산구 한남동 728-27,127.00278688778162,37.54008357969044
