자치구,행정동,사업장명,경도,위도
광진구,광장동,신동아파밀리에신동아아파트경로당,127.104834,37.54693621
성동구,금호동4가,금호롯데케슬(아)경로당,127.0171778,37.54699907
성동구,금호동4가,금호롯데캐슬(아)경로당,127.0171778,37.54699907
마포구,신수동,익수경로당,126.9352269,37.54702066
마포구,신수동,대원칸타빌@경로당,126.9352269,37.54702066
마포구,염리동,송암경로당,126.9456557,37.54706196
광진구,광장동,광나루현대아파트경로당,127.1085546,37.54708124
마포구,공덕동,공덕한화꿈에그린@경로당,126.955448,37.54710553
강동구,명일동,삼익가든아파트경로당,127.1477089,37.54720247
성동구,성수동2가,성수아이파크아파트경로당,127.056611,37.5474076
광진구,구의동,소능경로당,127.085949,37.54765361
성동구,금호동4가,구립금강경로당,127.0191179,37.54767217
성동구,성수동1가,뚝섬중앙하이츠빌경로당,127.0477937,37.54788173
강동구,명일동,명일주공9단지아파트 경로당,127.1516584,37.54790736
성동구,금호동4가,정우회경로당,127.0207884,37.54795922
강서구,염창동,삼정그린코아아파트경로당,126.8747047,37.54796521
강동구,명일동,구립 원터골경로당,127.1537703,37.54799509
강동구,암사동,장생경로당,127.1337796,37.54801564
마포구,공덕동,공덕삼성제2경로당,126.9509041,37.54806482
마포구,신수동,동막경로당,126.9397715,37.54806705
마포구,염리동,염리동제1경로당,126.9451683,37.54814384
용산구,후암동,양짓말,126.9764024,37.54814529
마포구,공덕동,삼성래미안 공덕3차아파트경로당,126.952194,37.54816941
강서구,화곡동,우장산SK뷰(아),126.8430364,37.54817766
강서구,염창동,한화꿈에그린(아) 경로당,126.8731436,37.54818303
성동구,성수동2가,성삼경로당,127.0552317,37.5482169
강서구,염창동,대림아파트경로당,126.8757761,37.54822646
강서구,염창동,대림아파트경로당,126.8757761,37.54822646
광진구,구의동,구의2동경로당,127.0922104,37.54823508
마포구,공덕동,공덕현대아파트경로당,126.950137,37.54828497
마포구,창전동,서강쌍용예가 경로당,126.9294395,37.54836254
성동구,성수동1가,성수대우2차아파트경로당,127.0501539,37.54841045
성동구,성수동2가,성수2차우방아파트경로당,127.0518419,37.54844999
성동구,성수동2가,성수2차우방아파트경로당,127.0518419,37.54844999
용산구,후암동,새말,126.9829633,37.54845609
강동구,천호동,소망경로당,127.1416959,37.54850169
중구,신당동,하늘경로당,127.0088805,37.54868079
중구,신당동,쌈지경로당,127.0088805,37.54868079
중구,신당동,남산숲경로당,127.0088805,37.54868079
성동구,금호동3가,금호3가경로당,127.0213925,37.54875893
강동구,명일동,엘지아파트경로당,127.1468129,37.5488971
강서구,염창동,극동상록수아파트,126.8721175,37.54892948
마포구,염리동,염리삼성래미안(아) 경로당,126.9467973,37.54896449
마포구,신수동,마포경남아너스빌 경로당,126.9343014,37.54912245
강서구,염창동,태진한솔APT 경로당,126.8740252,37.54913038
성동구,금호동1가,금호삼성래미안아파트경로당,127.0276373,37.54917732
마포구,창전동,창전동 경로당,126.9302133,37.54919065
양천구,목동,한두 경로당,126.8654723,37.54922321
마포구,신수동,수복경로당,126.9333844,37.54925141
마포구,대흥동,대흥중앙경로당,126.943962,37.54926258
용산구,청파동1가,청파제1,126.9645727,37.54934742
강서구,화곡동,우장산 아이파크 e-편한세상(아),126.8387656,37.54935474
강동구,명일동,명일2동현대(아)경로당,127.1503047,37.54944033
강동구,명일동,명일신동아아파트경로당,127.1503047,37.54944033
강동구,명일동,삼익2차A경로당,127.1503047,37.54944033
강동구,명일동,삼익1차아파트경로당,127.1503047,37.54944033
성동구,성수동1가,성수쌍룡아파트경로당,127.0471103,37.54951191
성동구,금호동3가,금남경로당,127.0189934,37.5496006
광진구,광장동,일신아파트경로당,127.1088737,37.5496542
강동구,천호동,천호우성아파트경로당,127.1388161,37.54976849
강동구,명일동,구립 명일1동 경로당,127.1456506,37.54980251
마포구,염리동,염리삼성제2경로당,126.9478318,37.54982243
마포구,대흥동,마포자이2차아파트 경로당,126.9434039,37.54989364
마포구,대흥동,대경경로당,126.9434039,37.54989364
마포구,대흥동,태영아파트 201동 경로당,126.9434039,37.54989364
성동구,응봉동,중앙경로당,127.0311062,37.54989815
마포구,공덕동,마포현대경로당,126.9500039,37.54993023
성동구,금호동3가,금호자이2차(아) 경로당,127.020166,37.54993071
성동구,금호동3가,두산아파트경로당,127.0162174,37.55003827
마포구,창전동,삼성아파트제2경로당,126.9283848,37.55010065
용산구,동자동,동자동,126.9738446,37.55011605
마포구,공덕동,SH공사공덕2차삼성아파트 경로당,126.9600345,37.55017435
마포구,공덕동,공덕1동경로당,126.9600345,37.55017435
마포구,공덕동,큰덕경로당,126.9600345,37.55017435
강동구,암사동,암사2동제2경로당,127.125341,37.55018811
광진구,구의동,아차산경로당,127.0962641,37.55019377
성동구,성수동1가,성원경로당,127.0500593,37.55020555
성동구,응봉동,신동아아파트경로당,127.0295015,37.55025212
마포구,공덕동,연봉경로당,126.9622123,37.55034932
강동구,암사동,구립)강암경로당,127.132063,37.55044693
강동구,명일동,한양아파트경로당,127.1551496,37.55046093
광진구,광장동,워커힐아파트경로당,127.1065546,37.55052028
마포구,공덕동,공덕2삼성래이안4차@ 경로당,126.9508491,37.55055921
성동구,금호동3가,금호1차푸르지오(아),127.0207253,37.55057456
강동구,상일동,삼성빌라경로당,127.1683004,37.55058375
강동구,상일동,고덕7단지아파트경로당,127.1683004,37.55058375
강동구,상일동,고덕6단지아파트경로당,127.1683004,37.55058375
강동구,상일동,고덕5단지아파트경로당,127.1683004,37.55058375
강동구,상일동,고덕3단지경로당,127.1683004,37.55058375
강동구,상일동,상일중앙하이츠경로당,127.1683004,37.55058375
강동구,상일동,상일동아아파트경로당,127.1683004,37.55058375
강동구,상일동,상일동경로당,127.1717146,37.55063127
강서구,염창동,염창롯데캐슬(아) 경로당,126.8683552,37.55075906
강동구,암사동,암사1동제1경로당,127.1379372,37.55077827
용산구,서계동,서계제1,126.9642437,37.55082099
성동구,성수동1가,동아그린아파트경로당,127.0480162,37.55090206
마포구,공덕동,공덕2삼성래미안(아)경로당,126.9596149,37.55102358
성동구,응봉동,현대아파트경로당,127.030954,37.55104688
강동구,명일동,명일우성A 경로당,127.1519189,37.55115413
마포구,창전동,마포삼성아파트경로당,126.9309941,37.55123088
강서구,내발산동,마곡수명산파크 4단지(아)  경로당,126.8233512,37.55123487
강서구,염창동,강변 현대홈타운(아) 경로당,126.874543,37.55125188
광진구,군자동,일성파크아파트경로당,127.0726279,37.55126971
마포구,신수동,신촌삼익아파트경로당,126.9355803,37.5512705
강서구,염창동,우성3차아파트경로당,126.8674247,37.55129943
강서구,염창동,무학(아) 경로당,126.8765573,37.55139492
강서구,염창동,염창강변경로당,126.875889,37.55154955
마포구,염리동,상록아파트경로당,126.9482259,37.55155036
강서구,염창동,보람더하임(아),126.8702952,37.5516285
강서구,염창동,염창삼성하나로아파트경로당,126.8719065,37.55162972
마포구,합정동,합정경로당,126.9117564,37.55166181
성동구,금호동1가,금호벽산아파트경로당,127.0272229,37.55169336
강서구,염창동,염창2차한화꿈에그린아파트 경로당,126.8668564,37.55171721
광진구,군자동,양마제2경로당,127.0705529,37.55174714
강서구,염창동,염창경로당,126.8737051,37.55175807
용산구,후암동,후암미주아파트경로당,126.9757901,37.55184268
성동구,응봉동,대림1차아파트경로당,127.0332645,37.55193076
중구,신당동,장수경로당,127.007079,37.55195388
강서구,내발산동,마곡수명산파크 5단지(아)경로당,126.8270678,37.55198955
강서구,화곡동,우장산 경로당,126.846655,37.55204022
강동구,암사동,암사한솔A경로당,127.1403019,37.55207563
강동구,암사동,새장터경로당,127.130805,37.55212239
강서구,내발산동,발음경로당,126.8331796,37.55220953
마포구,서교동,홍익경로당,126.923324,37.55226509
마포구,망원동,금성경로당,126.9020007,37.55226752
강동구,암사동,선사현대아파트경로당,127.1258144,37.55239631
중구,신당동,동호경로당,127.0130171,37.55240838
강서구,화곡동,연지경로당,126.8526456,37.55241554
강동구,상일동,고덕리엔파크3단지경로당,127.1753238,37.55242291
강서구,화곡동,우장산롯데(아)경로당,126.8464874,37.55246167
강동구,암사동,암사1동제3경로당,127.1367475,37.55258715
강서구,염창동,관음삼성아파트 경로당,126.8691263,37.55259182
강동구,암사동,구립)복지말경로당,127.13294,37.55260654
