,사업장명,위도,경도,ADDRESS
207,신림푸르지오경로당,37.47912188,126.9104843,신림동
208,구룡경로당,37.47917622,126.90219920000001,독산동
209,구룡경로당,37.47917622,126.90219920000001,독산동
210,항동경로당,37.47920737,126.8241433,항동
211,신관경로당,37.47940069,126.9334605,신림동
212,신성미소지움(아),37.47945783,126.8966437,구로동
213,삼성경로당,37.47948026,126.91444009999998,신림동
214,대우효령(아)경로당,37.47956108,126.99389860000001,방배동
215,대청경로당,37.47956549,127.08043,일원동
216,개포8단지(아)경로당,37.47956549,127.08043,일원동
217,현대(아)(일원2),37.47956549,127.08043,일원동
218,탄천경로당,37.47956549,127.08043,일원동
219,장수경로당,37.47956549,127.08043,일원동
220,수서1단지(아)경로당,37.47956549,127.08043,일원동
221,송학,37.47976524,126.9788997,사당동
222,신창경로당,37.47983858,126.95955079999999,봉천동
223,문정 시영아파트,37.47987495,127.12655359999998,문정동
224,정수경로당,37.47995445,126.8931834,가리봉동
225,방배현대멤피스2차(아) 경로당,37.48015823,126.99796880000001,방배동
226,사당동진흥아파트경로당,37.48026144,126.96914109999999,사당동
227,청솔빌리지경로당,37.48046436,127.08236029999999,일원동
228,구룡경로당,37.48072265,127.05835060000001,개포동
229,신동아(아)경로당(방배3동),37.48087049,127.0009446,방배동
230,서초1차 e편한세상,37.48119242,127.00672920000001,서초동
231,서초1차e편한세상 경로당,37.48119242,127.00672920000001,서초동
232,신남성,37.4813403,126.97199679999999,사당동
233,문성골경로당,37.48137119,126.8977527,구로동
234,상록수(아)경로당,37.48155008,127.08209040000001,일원동
235,문정 건영아파트,37.48166967,127.1257131,문정동
236,봉팔경로당,37.48192088,126.9425203,봉천동
237,대치1단지(아)경로당,37.48192513,127.0574402,개포동
238,포이경로당,37.48192513,127.0574402,개포동
239,밀미리경로당,37.48192513,127.0574402,개포동
240,경남(아)경로당,37.48192513,127.0574402,개포동
241,대청3단지경로당,37.48192513,127.0574402,개포동
242,한솔(아)경로당,37.48202022,127.07784939999999,일원동
243,쟁골경로당,37.48208313,127.1021816,자곡동
244,서초구립방배2동제2경로당,37.48224494,126.98306299999999,방배동
245,개봉대상(아)경로당,37.482314200000005,126.84978170000001,개봉동
246,강남경로당,37.48234336,126.90474309999999,신림동
247,장지,37.48241413,127.1284288,문정동
248,가람(아)경로당,37.4824347,127.0853804,일원동
249,현대2차(아)경로당,37.4824775,127.0512528,개포동
250,풍림아이원아파트 경로당,37.48253849,126.9521652,봉천동
251,신본경로당,37.48263891,126.9364006,신림동
252,사당4동,37.4826613,126.97029920000001,사당동
253,가산동 상록경로당,37.48270832,126.8844049,가산동
254,신원경로당,37.48272241,126.924425,신림동
255,영화아이닉스경로당,37.48280429,126.84924709999999,개봉동
256,구립서초3동경로당,37.48280942,127.0108777,서초동
257,서초한신플러스타운 경로당,37.48287347,127.01431770000002,서초동
258,한신플러스타운경로당,37.48287347,127.01431770000002,서초동
259,가리봉1동경로당,37.48287914,126.88966620000001,가리봉동
260,제일A,37.48292906,126.9695209,사당동
261,주공1단지(아)경로당,37.4831443,127.05887129999999,개포동
262,도곡경로당,37.4831507,127.04516670000001,도곡동
263,서초구립예술의마을경로당,37.4832379,127.01456259999999,서초동
264,행운경로당,37.48340427,126.95963229999998,봉천동
265,소정회경로당,37.48341301,126.994487,방배동
266,방배브라운(아)경로당,37.48341301,126.994487,방배동
267,우성(아)경로당(방배2동),37.48341301,126.994487,방배동
