전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역
0319,종로3가역,Jongno 3(sam)-ga,3호선,329,종로3가역 3호선,서울 종로구 돈화문로 지하 30,37.5711402785938,126.991994361467,1
0320,을지로3가역,Euljiro 3(sam)-ga,3호선,330,을지로3가역 3호선,서울 중구 을지로 지하 129,37.5662750350156,126.992650024369,1
2627,공덕역,Gongdeok,6호선,626,공덕역 6호선,서울 마포구 백범로 지하 200,37.543526917067,126.951947569181,1
2628,효창공원앞역,Hyochang park,6호선,627,효창공원앞역 6호선,서울 용산구 백범로 지하 287,37.539334042393,126.961318543969,1
4133,석촌역,Seokchon(Hansol Hospital),9호선,933,석촌역 9호선,서울 송파구 백제고분로 지하 368,37.5051304640171,127.106928108844,1
4134,송파나루역,Songpanaru,9호선,934,송파나루역 9호선,서울 송파구 백제고분로 지하 446,37.5106316985927,127.112393866995,0
4135,한성백제역,Hanseong Baekje,9호선,935,한성백제역 9호선,서울 송파구 위례성대로 지하 29,37.5164647953901,127.116303251765,0
4136,올림픽공원역,Olympic Park,9호선,936,올림픽공원역 9호선,서울 송파구 양재대로 지하 1231,37.5168868476651,127.130917803204,1
4137,둔촌오륜역,Dunchon Oryun,9호선,937,둔촌오륜역 9호선,서울 강동구 강동대로 지하 303,37.5194242486054,127.138427332482,0
0225,방배역,Bangbae,2호선,225,방배역 2호선,서울 서초구 방배로 지하 80,37.4814364876589,126.997694899327,0
0226,사당역,Sadang,2호선,226,사당역 2호선,서울 동작구 남부순환로 지하 2089,37.4765228347619,126.981408909449,1
0227,낙성대역,Nakseongdae,2호선,227,낙성대역 2호선,서울 관악구 남부순환로 지하 1928,37.4770651843603,126.963409959152,0
0228,서울대입구역,Seoul Nat`l Univ.,2호선,228,서울대입구역 2호선,서울 관악구 남부순환로 지하 1822,37.4811526631844,126.952645104944,0
0229,봉천역,Bongcheon,2호선,229,봉천역 2호선,서울 관악구 남부순환로 지하 1721,37.4825562153548,126.941495272047,0
0230,신림역,Sillim,2호선,230,신림역 2호선,서울 관악구 남부순환로 지하 1614,37.4842176141092,126.92980331103,0
0231,신대방역,Sindaebang,2호선,231,신대방역 2호선,서울 동작구 대림로 2,37.4875759745635,126.913175585996,0
0232,구로디지털단지역,Guro Digital Complex,2호선,232,구로디지털단지역 2호선,서울 구로구 도림천로 477,37.4853149237865,126.901494378412,0
0234,신도림역,Sindorim,2호선,234,신도림역 2호선,서울 구로구 새말로 지하 117-21,37.5087701449787,126.891080501385,1
0235,문래역,Mullae,2호선,235,문래역 2호선,서울 영등포구 당산로 지하 28,37.5179214637526,126.894763060556,0
0236,영등포구청역,Yeongdeungpo-gu Office,2호선,236,영등포구청역 2호선,서울 영등포구 당산로 지하 121,37.5256996614804,126.896626898379,1
2629,삼각지역,Samgakji,6호선,628,삼각지역 6호선,서울 용산구 한강대로 지하 185,37.5356450533976,126.974080538316,1
2630,녹사평역,Noksapyeong,6호선,629,녹사평역 6호선,서울 용산구 녹사평대로 지하 195,37.5348314193581,126.987028473368,0
2631,이태원역,Itaewon,6호선,630,이태원역 6호선,서울 용산구 이태원로 지하 177,37.534483277545,126.993721655506,0
2632,한강진역,Hangangjin,6호선,631,한강진역 6호선,서울 용산구 이태원로 지하 287,37.5402951544226,127.001748287649,0
