사업장명,소재지전체주소
신용산교회 소망노인교실,서울특별시 용산구 한강로3가 
(사)대한노인회용산지회노인교실,서울특별시 용산구 효창동 255번지 
대한노인회서울특별시연합회부설노인교실,서울특별시 용산구 효창동 255번지 
후암동성당 시니어아카데미,서울특별시 용산구 후암동 38-3번지 
청파동성당 시니어아카데미,서울특별시 용산구 청파동3가 132-9번지 
한강성당 대건 노인대학,서울특별시 용산구 이촌동 
세광교회 노인교실,서울특별시 용산구 이태원동 252-15번지 
대한노인회용산구지회,서울특별시 용산구 이촌동 301-147번지 
이태원성당 상아탑 노인교실,서울특별시 용산구 이태원동 96-3번지 
충신평생대학,서울특별시 용산구 이촌동 
구산교회 실버대학,서울특별시 은평구 구산동 16-26번지 
역촌 시니어 아카데미,서울특별시 은평구 역촌동 
한성늘푸른대학,서울특별시 은평구 응암동 
서울인생이모작지원센터,서울특별시 은평구 녹번동 서울인생이모작지원센터 
서문교회 장수대학,서울특별시 은평구 응암동 서문교회 
오병이어,서울특별시 은평구 대조동 67-12번지 
은평감리교회 평생교육원,서울특별시 은평구 녹번동 153-16번지 
서광 어르신대학,서울특별시 은평구 갈현동 1-25번지 
늘푸른교실,서울특별시 은평구 갈현동 444-7번지 
은평교회노인교실,서울특별시 은평구 역촌동 85-38번지 
로뎀노인교실,서울특별시 은평구 불광동 484-221번지 
연신내성당 노인교실,서울특별시 은평구 불광동 67-2번지 
응암 시니어 아카데미,서울특별시 은평구 응암동 
천주교불광동성당노인교실,서울특별시 은평구 불광동 286-53번지 
향후노인교실,서울특별시 은평구 역촌동 15-10번지 
응암교회노인교실,서울특별시 은평구 응암동 68-1번지 
역촌동 노인교실,서울특별시 은평구 역촌동 56-11번지 
연신내성당노인교실,서울특별시 은평구 불광동 67-2번지 
녹번동성령강림노인교실,서울특별시 은평구 녹번동 79-8번지 
수색시니어 아카데미,서울특별시 은평구 증산동 221-1번지 
갈현성당노인교실,서울특별시 은평구 갈현동 428-3번지 
은평제일노인교실,서울특별시 은평구 불광동 191-8번지 
안디옥노인교실,서울특별시 은평구 신사동 337-10번지 
신사노인교실,서울특별시 은평구 신사동 26-18번지 
성진교회 늘푸른대학,서울특별시 성동구 성수동2가 339-55번지 
성답경로대학,서울특별시 성동구 용답동 166-1번지 
성답경로대학,서울특별시 성동구 용답동 166-1번지 
금호경로대학,서울특별시 성동구 금호동3가 165-1번지 
금호경로대학,서울특별시 성동구 금호동3가 165-1번지 
성은교회 늘푸른대학,서울특별시 성동구 하왕십리동 974-10번지 
어르신성경대학,서울특별시 성동구 옥수동 511-12번지 
소망대학,서울특별시 성동구 행당동 346번지 
안나회,서울특별시 성동구 금호동2가 760번지 
왕십리교회노인교실,서울특별시 성동구 상왕십리동 304-3번지 
금호제일노인대학,서울특별시 성동구 금호동4가 96번지 
성심노인교실,서울특별시 성동구 홍익동 236번지 
대한노인회서울특별시연합회부설노인교실,서울특별시 성동구 마장동 520-9번지 
대한노인회서울특별시연합회부설노인교실,서울특별시 성동구 마장동 520-9번지 
비전노인교실,서울특별시 성동구 송정동 73-566번지 
한빛효대학,서울특별시 양천구 신월동 
