사업장명,행정동
중앙노인교실,잠실동
동현노인교실,방이동
구의교회 노인교실,구의동
구의교회 늘푸른대학,구의동
자양동성당노인교실,자양동
한국중앙노인교실,중곡동
중곡여가교실,중곡동
(사)대한노인회 광진구지회 부설 광진노인교실,광장동
자양노인교실,자양동
요아킴안나노인교실,쌍문동
도성생활학교,도봉동
성모탄신지혜대학,방학동
상현평생대학,중계동
어르신 신앙학교,상계동
바오로노인대학,월계동
대건기로대학,상계동
공능행복대학,공릉동
상계경신노인대학,상계동
삼일경로대학,상계동
태릉성당 지혜대학,공릉동
상계행복대학,상계동
수정경로대학,하계동
노원마태오시니어아카데미,상계동
루카시니어아카데미,상계동
요셉시니어 아카데미,하계동
양업시니어아카데미,중계동
노원은빛청춘노인교실,월계동
중계노인교실,중계동
평화노인교실,중계동
(사)대한노인회 노원구지회 부설 노인교실,중계동
보라매노인교실,신대방동
(사)대한노인회 동작구지회 부설 노인교실,대방동
상도노인교실,상도동
남현노인교실,상도동
제일교회노인교실,흑석동
예수성심노인교실,사당동
우장산성당 부설 시니어아카데미,화곡동
방화3동성당 성가정 시니어아카데미,방화동
예장경향교회 노인교실,등촌동
목양중앙교회,화곡동
예원시니어대학,등촌동
강서제자노인교실,방화동
노인 지도자 대학,등촌동
순교자 노인대학,등촌동
발음어르신문화교실,내발산동
한빛노인교실,화곡동
강남교회,화곡동
배광노인교실,등촌동
영신늘푸른노인교실,방화동
등촌제일교회노인교실,등촌동
하상시니어아카데미,화곡동
천사노인교실,가양동
염창교회 노인교실,염창동
등촌1동성당 노인교실 평생대학,등촌동
치유하는교회 늘푸른실버대학,화곡동
성모시니어아카데미 노인교실,화곡동
성산어르신문화교실,방화동
강서교회노인교실,화곡동
성지교회노인교실,가양동
양화노인예능교실,등촌동
까치산노인교실,화곡동
강서시니어대학,내발산동
남서울교회 늘푸른노인교실,당산동
도림노인교실,도림동
신길노인교실,신길동
영신노인교실,당산동
소망영신 노인교실,신길동
대림교회 노인교실,신길동
한국복지정보통신어르신정보화교실,자양동
