,행정동,경로당수,사회복지시설수,노인교실수,노인인구비율,새벽생활인구,아침생활인구,낮생활인구,저녁생활인구,밤생활인구
19,광장동,20.0,0.0,3.0,0.1052,874.1438993999999,926.2983414999999,950.7152548,949.5726278999999,906.4608273
20,광희동,1.0,0.0,0.0,0.188,353.1886295,494.8648795,887.0144846000001,589.4003299,406.1491069
21,구기동,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,구로동,55.0,1.0,7.0,0.15422000000000002,745.7402929,756.51448226,824.8923376,792.80126318,755.26436392
23,구산동,5.0,0.0,1.0,0.1859,990.9136317,918.2750982000001,794.9782967,840.3448216,924.7707042000002
24,구의동,14.0,0.0,3.0,0.14306666666666668,770.8689860333334,745.0765521666666,700.12354,729.5826396333333,754.7040853
25,군자동,4.0,1.0,0.0,0.1355,432.3805466,434.2906285,456.2352071,474.2546313,454.36670939999993
26,궁동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,금호동,26.0,0.0,4.0,0.16376666666666667,557.3573657000001,533.4616824333333,501.57077720000007,555.1435207999999,558.1119333333334
28,길동,9.0,0.0,3.0,0.1655,1933.254156,1849.03816,1805.6880059999999,1923.693086,1944.484668
29,길음동,17.0,0.0,0.0,0.13620000000000002,716.7142631500001,704.1405851000001,669.4547318,725.4126402500001,735.6906638999999
30,낙원동,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,남가좌동,13.0,0.0,1.0,0.14365,479.5075918499999,460.5924337,441.9433077,478.87947610000003,481.24732455000003
32,남영동,1.0,0.0,0.0,0.1994,265.7197677,356.4294003,502.6651699,393.525133,294.4587687
33,남현동,3.0,0.0,0.0,0.1489,792.1232014,779.6305275000001,727.9725566000001,781.5291255,804.6651642
34,내곡동,8.0,0.0,0.0,0.1789,713.3584547,784.6162552999999,838.8850919,779.6513308,736.8469062999999
35,내발산동,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,냉천동,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,노고산동,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,노량진동,10.0,0.0,3.0,0.18819999999999998,775.5695645999999,777.5023194,730.6961359,763.18309005,772.52333515
39,녹번동,10.0,0.0,3.0,0.1823,1312.8056470000001,1228.617834,1084.0843830000001,1136.813133,1238.5117480000001
40,논현동,10.0,1.0,1.0,0.1348,739.8609677,833.6089325,992.76440855,845.4460626499999,759.9304246500001
41,능동,1.0,0.0,0.0,0.1355,336.2680195,381.98449889999995,471.61092930000007,463.1328427,394.8489952
42,답십리동,25.0,0.0,4.0,0.16155,823.0505308,789.5433105000001,737.76070095,753.7514043,784.3831979000001
43,당산동,29.0,0.0,3.0,0.1402,721.0638139499999,760.3739893,820.1593312499999,773.3649234,726.3173853000001
44,당인동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,대림동,20.0,0.0,4.0,0.17113333333333333,658.6183240666666,641.8434785999999,657.6316292,697.6185089333334,679.8999140333332
46,대방동,12.0,1.0,1.0,0.1466,1055.36862,1071.012894,1025.642273,1085.295755,1094.970004
47,대조동,4.0,1.0,1.0,0.183,1174.886127,1119.835648,1066.740988,1155.894874,1186.971389
48,대치동,28.0,1.0,3.0,0.10906666666666669,644.1656109666667,723.2360010666666,848.6559786666667,764.7008390333334,687.1992200666667
49,대현동,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,대흥동,7.0,0.0,1.0,0.1316,338.929265,388.66559589999997,491.677705,448.3633477,384.15712210000004
51,도곡동,15.0,1.0,3.0,0.13635,794.3461,831.55238005,847.7253950500001,803.3329933,790.1169077
52,도림동,8.0,0.0,2.0,0.1635,512.9326984,472.67666710000003,415.4750283,454.7055505,489.33672939999997
53,도봉동,24.0,1.0,1.0,0.24665,839.9084332499999,827.6929593,868.884941,846.4287643,838.3414608
54,도선동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,도원동,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,도화동,9.0,0.0,0.0,0.1671,658.5469476,661.1981678,650.7909731000001,664.8518295,658.2913246
57,독산동,35.0,7.0,3.0,0.156225,668.0156600500001,649.53258435,642.8658975750001,674.933694425,676.5138502749999
58,돈암동,12.0,0.0,0.0,0.1649,564.4811017,520.01300525,398.7189375,443.6584016500001,529.3131481999999
59,동교동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,동빙고동,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,동선동,2.0,0.0,1.0,0.1396,534.0641256,563.5767245,593.5591375,608.5658718999999,561.9920832
62,동소문동,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,동숭동,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,동자동,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
65,동작동,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,둔촌동,14.0,0.0,0.0,0.19319999999999998,650.5133190500001,659.2362856,642.2535461,611.50383945,642.0699732
67,등촌동,39.0,1.0,8.0,0.15826666666666667,763.4522443666666,740.8099023666667,720.7082320666667,719.0051528333333,741.3460621999999
68,마곡동,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,마장동,12.0,1.0,2.0,0.1664,696.5174957,730.9678875,736.1694896,711.0553503,691.4015092
70,마천동,10.0,0.0,2.0,0.20945,669.42238895,610.24055355,545.1161947,592.78941345,639.7163844500001
71,마포동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,만리동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,망우동,12.0,0.0,2.0,0.1919,931.08674465,903.6070986999999,902.9226979499999,941.2348648999999,931.3608356
74,망원동,9.0,0.0,1.0,0.16155,500.85620405000003,475.41394285,445.21321929999993,482.6268248,499.75395975000004
75,면목동,43.0,2.0,0.0,0.17844,749.0953272333333,695.8752632833334,641.1801169333335,707.7606650333333,739.0068919666666
76,명일동,13.0,1.0,1.0,0.14529999999999998,759.09486095,770.46588995,737.83097785,800.1293916,796.7591275
77,목동,43.0,1.0,9.0,0.12208,744.67885598,749.1761498399999,743.4780530400001,768.9997286199999,764.9326559399999
78,무악동,2.0,0.0,0.0,0.1638,276.15536539999994,264.8156736,213.3060676,219.51020690000001,256.5436229
79,묵동,18.0,0.0,1.0,0.17285,862.1877118499999,807.43395175,720.4116595,799.06427965,849.16617685
80,문래동,25.0,1.0,1.0,0.1395,997.3837300000001,1136.958277,1330.9802849999999,1193.87978,1054.17416
81,문배동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,문정동,13.0,0.0,2.0,0.13665,802.6341894499999,822.84000285,863.8673763500001,796.7032846,787.86791825
83,미근동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,미아동,42.0,0.0,6.0,0.1958,868.0121981000001,851.2126972000001,900.6851311,955.2064280999999,919.1334509999999
85,반포동,16.0,0.0,4.0,0.125825,542.1000618400001,612.2405248399999,702.32509924,620.27581496,555.2329179999999
