,Unnamed: 0,FACI_NM,FACI_GB_CD,FACI_GB_NM,FCOB_CD,FCOB_NM,FTYPE_CD,FTYPE_NM,FACI_STAT,FACI_ROAD_POST,FACI_ROAD_ADDR1,FACI_ROAD_ADDR2,FACI_POST,FACI_ADDR1,FACI_ADDR2,FACI_POINT_X,FACI_POINT_Y,서울유무
14465,69570,초안산근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창1동,,127.04174499999999,37.648998,서울
14466,69571,초안산근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창1동,,127.04081599999999,37.648512,서울
14467,69572,초안산근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창1동,,127.04050900000001,37.647647,서울
14468,69573,초안산근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창1동,,127.03992,37.647359,서울
14469,69574,초안산근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창1동,,127.04016999999999,37.648196999999996,서울
14501,69907,큰길어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 성산2동 200-50,,126.9082195,37.56772209,서울
14521,70114,토정어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 용강동 508-3일대,,,,서울
14568,70396,풍납배드민턴장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 송파구 풍납동310-17,,127.11031200000001,37.53065718,서울
14604,70635,학여울근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강남구 개포동 183-1 외 1필지,,127.06902109999999,37.49043526,서울
14639,70802,합정어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 서교동 489,,126.9131416,37.55167005,서울
14642,70806,항동생활체육관,P,공공,P09,체육관,P0903,생활체육관,정상운영,8368.0,서울특별시 구로구 항동로 24 (항동),항동생활체육관,8368.0,서울특별시 구로구 항동 166-1,항동생활체육관,126.8229818,37.47708809,서울
14660,70860,해태어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 도봉1동,,127.041191,37.672009,서울
14680,71046,현석어린이공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 현석동 1-5,,126.93329650000001,37.54434542,서울
