시군구,행정동,행정동코드,자치구행정동
성동구,송정동,11200720,성동구송정동
성동구,용답동,11200790,성동구용답동
성동구,왕십리도선동,11200535,성동구왕십리도선동
성동구,금호2.3가동,11200615,성동구금호2.3가동
성동구,옥수동,11200645,성동구옥수동
광진구,화양동,11215710,광진구화양동
광진구,군자동,11215730,광진구군자동
광진구,중곡1동,11215740,광진구중곡1동
광진구,중곡2동,11215750,광진구중곡2동
광진구,중곡3동,11215760,광진구중곡3동
광진구,중곡4동,11215770,광진구중곡4동
광진구,능동,11215780,광진구능동
광진구,구의1동,11215850,광진구구의1동
광진구,구의2동,11215860,광진구구의2동
광진구,구의3동,11215870,광진구구의3동
광진구,광장동,11215810,광진구광장동
광진구,자양1동,11215820,광진구자양1동
광진구,자양2동,11215830,광진구자양2동
광진구,자양3동,11215840,광진구자양3동
광진구,자양4동,11215847,광진구자양4동
동대문구,회기동,11230710,동대문구회기동
동대문구,휘경1동,11230720,동대문구휘경1동
동대문구,휘경2동,11230730,동대문구휘경2동
동대문구,청량리동,11230705,동대문구청량리동
동대문구,용신동,11230536,동대문구용신동
동대문구,제기동,11230545,동대문구제기동
동대문구,전농1동,11230560,동대문구전농1동
동대문구,전농2동,11230570,동대문구전농2동
동대문구,답십리2동,11230610,동대문구답십리2동
동대문구,장안1동,11230650,동대문구장안1동
동대문구,장안2동,11230660,동대문구장안2동
동대문구,이문1동,11230740,동대문구이문1동
동대문구,이문2동,11230750,동대문구이문2동
동대문구,답십리1동,11230600,동대문구답십리1동
중랑구,면목2동,11260520,중랑구면목2동
중랑구,면목4동,11260540,중랑구면목4동
중랑구,면목5동,11260550,중랑구면목5동
중랑구,면목7동,11260570,중랑구면목7동
중랑구,상봉1동,11260580,중랑구상봉1동
중랑구,상봉2동,11260590,중랑구상봉2동
중랑구,중화1동,11260600,중랑구중화1동
중랑구,중화2동,11260610,중랑구중화2동
중랑구,묵1동,11260620,중랑구묵1동
중랑구,묵2동,11260630,중랑구묵2동
중랑구,망우3동,11260660,중랑구망우3동
중랑구,신내1동,11260680,중랑구신내1동
중랑구,신내2동,11260690,중랑구신내2동
중랑구,면목본동,11260565,중랑구면목본동
중랑구,면목3.8동,11260575,중랑구면목3.8동
중랑구,망우본동,11260655,중랑구망우본동
성북구,돈암1동,11290580,성북구돈암1동
성북구,돈암2동,11290590,성북구돈암2동
성북구,안암동,11290600,성북구안암동
성북구,보문동,11290610,성북구보문동
성북구,정릉1동,11290620,성북구정릉1동
성북구,정릉2동,11290630,성북구정릉2동
성북구,정릉3동,11290640,성북구정릉3동
성북구,정릉4동,11290650,성북구정릉4동
성북구,길음1동,11290660,성북구길음1동
성북구,길음2동,11290685,성북구길음2동
성북구,월곡1동,11290715,성북구월곡1동
성북구,월곡2동,11290725,성북구월곡2동
성북구,장위1동,11290760,성북구장위1동
성북구,장위2동,11290770,성북구장위2동
성북구,장위3동,11290780,성북구장위3동
성북구,성북동,11290525,성북구성북동
성북구,삼선동,11290555,성북구삼선동
성북구,동선동,11290575,성북구동선동
성북구,종암동,11290705,성북구종암동
성북구,석관동,11290810,성북구석관동
강북구,번1동,11305590,강북구번1동
강북구,번2동,11305600,강북구번2동
강북구,번3동,11305606,강북구번3동
강북구,수유1동,11305610,강북구수유1동
강북구,수유2동,11305620,강북구수유2동
강북구,수유3동,11305630,강북구수유3동
강북구,삼양동,11305534,강북구삼양동
강북구,미아동,11305535,강북구미아동
강북구,송중동,11305545,강북구송중동
강북구,송천동,11305555,강북구송천동
강북구,삼각산동,11305575,강북구삼각산동
강북구,우이동,11305645,강북구우이동
강북구,인수동,11305660,강북구인수동
도봉구,쌍문1동,11320660,도봉구쌍문1동
도봉구,쌍문2동,11320670,도봉구쌍문2동
도봉구,쌍문3동,11320680,도봉구쌍문3동
도봉구,쌍문4동,11320681,도봉구쌍문4동
도봉구,방학1동,11320690,도봉구방학1동
도봉구,방학2동,11320700,도봉구방학2동
도봉구,방학3동,11320710,도봉구방학3동
도봉구,창1동,11320511,도봉구창1동
도봉구,창2동,11320512,도봉구창2동
도봉구,창3동,11320513,도봉구창3동
도봉구,창4동,11320514,도봉구창4동
도봉구,창5동,11320515,도봉구창5동
도봉구,도봉1동,11320521,도봉구도봉1동
도봉구,도봉2동,11320522,도봉구도봉2동
노원구,월계1동,11350560,노원구월계1동
노원구,월계2동,11350570,노원구월계2동
노원구,월계3동,11350580,노원구월계3동
노원구,공릉2동,11350600,노원구공릉2동
노원구,하계1동,11350611,노원구하계1동
노원구,하계2동,11350612,노원구하계2동
노원구,중계본동,11350619,노원구중계본동
노원구,중계1동,11350621,노원구중계1동
노원구,중계4동,11350624,노원구중계4동
노원구,상계1동,11350630,노원구상계1동
노원구,상계2동,11350640,노원구상계2동
노원구,상계5동,11350670,노원구상계5동
노원구,상계8동,11350700,노원구상계8동
노원구,상계9동,11350710,노원구상계9동
노원구,상계10동,11350720,노원구상계10동
노원구,상계3.4동,11350665,노원구상계3.4동
노원구,상계6.7동,11350695,노원구상계6.7동
노원구,중계2.3동,11350625,노원구중계2.3동
노원구,공릉1동,11350595,노원구공릉1동
은평구,녹번동,11380510,은평구녹번동
은평구,불광1동,11380520,은평구불광1동
은평구,갈현1동,11380551,은평구갈현1동
은평구,갈현2동,11380552,은평구갈현2동
은평구,구산동,11380560,은평구구산동
은평구,대조동,11380570,은평구대조동
은평구,응암1동,11380580,은평구응암1동
은평구,응암2동,11380590,은평구응암2동
은평구,신사1동,11380631,은평구신사1동
은평구,신사2동,11380632,은평구신사2동
은평구,증산동,11380640,은평구증산동
은평구,수색동,11380650,은평구수색동
은평구,진관동,11380690,은평구진관동
은평구,불광2동,11380530,은평구불광2동
은평구,응암3동,11380600,은평구응암3동
은평구,역촌동,11380625,은평구역촌동
서대문구,천연동,11410520,서대문구천연동
서대문구,홍제1동,11410620,서대문구홍제1동
서대문구,홍제3동,11410640,서대문구홍제3동
서대문구,홍제2동,11410655,서대문구홍제2동
서대문구,홍은1동,11410660,서대문구홍은1동
서대문구,홍은2동,11410685,서대문구홍은2동
서대문구,남가좌1동,11410690,서대문구남가좌1동
서대문구,남가좌2동,11410700,서대문구남가좌2동
서대문구,북가좌1동,11410710,서대문구북가좌1동
서대문구,북가좌2동,11410720,서대문구북가좌2동
서대문구,충현동,11410565,서대문구충현동
서대문구,북아현동,11410555,서대문구북아현동
서대문구,신촌동,11410585,서대문구신촌동
서대문구,연희동,11410615,서대문구연희동
마포구,용강동,11440590,마포구용강동
마포구,대흥동,11440600,마포구대흥동
마포구,염리동,11440610,마포구염리동
마포구,신수동,11440630,마포구신수동
마포구,서교동,11440660,마포구서교동
마포구,합정동,11440680,마포구합정동
마포구,망원1동,11440690,마포구망원1동
마포구,망원2동,11440700,마포구망원2동
마포구,연남동,11440710,마포구연남동
마포구,성산1동,11440720,마포구성산1동
마포구,성산2동,11440730,마포구성산2동
마포구,상암동,11440740,마포구상암동
마포구,도화동,11440585,마포구도화동
마포구,서강동,11440655,마포구서강동
마포구,공덕동,11440565,마포구공덕동
마포구,아현동,11440555,마포구아현동
양천구,목1동,11470510,양천구목1동
양천구,목2동,11470520,양천구목2동
양천구,목3동,11470530,양천구목3동
양천구,목4동,11470540,양천구목4동
양천구,신월1동,11470560,양천구신월1동
양천구,신월2동,11470570,양천구신월2동
양천구,신월3동,11470580,양천구신월3동
양천구,신월4동,11470590,양천구신월4동
양천구,신월5동,11470600,양천구신월5동
양천구,신월6동,11470610,양천구신월6동
양천구,신월7동,11470611,양천구신월7동
양천구,신정1동,11470620,양천구신정1동
양천구,신정2동,11470630,양천구신정2동
양천구,신정3동,11470640,양천구신정3동
양천구,신정6동,11470670,양천구신정6동
양천구,신정7동,11470680,양천구신정7동
양천구,목5동,11470550,양천구목5동
양천구,신정4동,11470650,양천구신정4동
강서구,염창동,11500510,강서구염창동
강서구,등촌1동,11500520,강서구등촌1동
강서구,등촌2동,11500530,강서구등촌2동
강서구,등촌3동,11500535,강서구등촌3동
강서구,화곡본동,11500590,강서구화곡본동
강서구,화곡2동,11500550,강서구화곡2동
강서구,화곡3동,11500560,강서구화곡3동
강서구,화곡4동,11500570,강서구화곡4동
강서구,화곡6동,11500591,강서구화곡6동
강서구,화곡8동,11500593,강서구화곡8동
강서구,가양1동,11500603,강서구가양1동
강서구,가양2동,11500604,강서구가양2동
강서구,가양3동,11500605,강서구가양3동
강서구,발산1동,11500611,강서구발산1동
강서구,공항동,11500620,강서구공항동
강서구,방화1동,11500630,강서구방화1동
강서구,방화2동,11500640,강서구방화2동
강서구,방화3동,11500641,강서구방화3동
강서구,화곡1동,11500540,강서구화곡1동
강서구,우장산동,11500615,강서구우장산동
구로구,신도림동,11530510,구로구신도림동
구로구,구로1동,11530520,구로구구로1동
구로구,구로3동,11530540,구로구구로3동
구로구,구로4동,11530550,구로구구로4동
구로구,구로5동,11530560,구로구구로5동
구로구,고척1동,11530720,구로구고척1동
구로구,고척2동,11530730,구로구고척2동
구로구,개봉2동,11530750,구로구개봉2동
구로구,개봉3동,11530760,구로구개봉3동
구로구,오류1동,11530770,구로구오류1동
구로구,오류2동,11530780,구로구오류2동
구로구,수궁동,11530790,구로구수궁동
구로구,가리봉동,11530595,구로구가리봉동
구로구,구로2동,11530530,구로구구로2동
구로구,개봉1동,11530740,구로구개봉1동
구로구,항동,11530800,구로구항동
금천구,가산동,11545510,금천구가산동
금천구,독산1동,11545610,금천구독산1동
금천구,독산2동,11545620,금천구독산2동
금천구,독산3동,11545630,금천구독산3동
금천구,독산4동,11545640,금천구독산4동
금천구,시흥1동,11545670,금천구시흥1동
금천구,시흥2동,11545680,금천구시흥2동
금천구,시흥3동,11545690,금천구시흥3동
금천구,시흥4동,11545700,금천구시흥4동
금천구,시흥5동,11545710,금천구시흥5동
영등포구,여의동,11560540,영등포구여의동
영등포구,당산1동,11560550,영등포구당산1동
영등포구,당산2동,11560560,영등포구당산2동
영등포구,양평1동,11560610,영등포구양평1동
영등포구,양평2동,11560620,영등포구양평2동
영등포구,신길1동,11560630,영등포구신길1동
영등포구,신길3동,11560650,영등포구신길3동
영등포구,신길4동,11560660,영등포구신길4동
영등포구,신길5동,11560670,영등포구신길5동
영등포구,신길6동,11560680,영등포구신길6동
영등포구,신길7동,11560690,영등포구신길7동
영등포구,대림1동,11560700,영등포구대림1동
영등포구,대림2동,11560710,영등포구대림2동
영등포구,대림3동,11560720,영등포구대림3동
영등포구,영등포본동,11560515,영등포구영등포본동
영등포구,영등포동,11560535,영등포구영등포동
영등포구,도림동,11560585,영등포구도림동
영등포구,문래동,11560605,영등포구문래동
동작구,노량진2동,11590520,동작구노량진2동
동작구,상도1동,11590530,동작구상도1동
동작구,상도2동,11590540,동작구상도2동
동작구,상도3동,11590550,동작구상도3동
동작구,상도4동,11590560,동작구상도4동
동작구,사당1동,11590620,동작구사당1동
동작구,사당3동,11590640,동작구사당3동
동작구,사당4동,11590650,동작구사당4동
동작구,사당5동,11590651,동작구사당5동
동작구,대방동,11590660,동작구대방동
동작구,신대방1동,11590670,동작구신대방1동
동작구,신대방2동,11590680,동작구신대방2동
동작구,흑석동,11590605,동작구흑석동
동작구,노량진1동,11590510,동작구노량진1동
동작구,사당2동,11590630,동작구사당2동
관악구,보라매동,11620525,관악구보라매동
관악구,청림동,11620545,관악구청림동
관악구,행운동,11620575,관악구행운동
관악구,낙성대동,11620585,관악구낙성대동
관악구,중앙동,11620615,관악구중앙동
관악구,인헌동,11620625,관악구인헌동
관악구,남현동,11620630,관악구남현동
관악구,서원동,11620645,관악구서원동
관악구,신원동,11620655,관악구신원동
관악구,서림동,11620665,관악구서림동
관악구,신사동,11620685,관악구신사동
관악구,신림동,11620695,관악구신림동
관악구,난향동,11620715,관악구난향동
관악구,조원동,11620725,관악구조원동
관악구,대학동,11620735,관악구대학동
관악구,은천동,11620605,관악구은천동
관악구,성현동,11620565,관악구성현동
관악구,청룡동,11620595,관악구청룡동
관악구,난곡동,11620775,관악구난곡동
관악구,삼성동,11620745,관악구삼성동
관악구,미성동,11620765,관악구미성동
서초구,서초1동,11650510,서초구서초1동
서초구,서초2동,11650520,서초구서초2동
서초구,서초3동,11650530,서초구서초3동
서초구,서초4동,11650531,서초구서초4동
서초구,잠원동,11650540,서초구잠원동
서초구,반포본동,11650550,서초구반포본동
서초구,반포1동,11650560,서초구반포1동
서초구,반포2동,11650570,서초구반포2동
서초구,반포3동,11650580,서초구반포3동
서초구,반포4동,11650581,서초구반포4동
서초구,방배본동,11650590,서초구방배본동
서초구,방배1동,11650600,서초구방배1동
서초구,방배2동,11650610,서초구방배2동
서초구,방배3동,11650620,서초구방배3동
서초구,방배4동,11650621,서초구방배4동
서초구,양재1동,11650651,서초구양재1동
서초구,양재2동,11650652,서초구양재2동
서초구,내곡동,11650660,서초구내곡동
강남구,신사동,11680510,강남구신사동
강남구,논현1동,11680521,강남구논현1동
강남구,논현2동,11680531,강남구논현2동
강남구,삼성1동,11680580,강남구삼성1동
강남구,삼성2동,11680590,강남구삼성2동
강남구,대치1동,11680600,강남구대치1동
강남구,대치4동,11680630,강남구대치4동
강남구,역삼1동,11680640,강남구역삼1동
강남구,역삼2동,11680650,강남구역삼2동
강남구,도곡1동,11680655,강남구도곡1동
강남구,도곡2동,11680656,강남구도곡2동
강남구,개포1동,11680660,강남구개포1동
강남구,개포4동,11680690,강남구개포4동
강남구,일원본동,11680720,강남구일원본동
강남구,일원1동,11680730,강남구일원1동
강남구,일원2동,11680740,강남구일원2동
강남구,수서동,11680750,강남구수서동
강남구,세곡동,11680700,강남구세곡동
강남구,압구정동,11680545,강남구압구정동
강남구,청담동,11680565,강남구청담동
강남구,대치2동,11680610,강남구대치2동
강남구,개포2동,11680670,강남구개포2동
송파구,풍납1동,11710510,송파구풍납1동
송파구,풍납2동,11710520,송파구풍납2동
송파구,거여1동,11710531,송파구거여1동
송파구,거여2동,11710532,송파구거여2동
송파구,마천1동,11710540,송파구마천1동
송파구,마천2동,11710550,송파구마천2동
송파구,방이1동,11710561,송파구방이1동
송파구,방이2동,11710562,송파구방이2동
송파구,오륜동,11710566,송파구오륜동
송파구,오금동,11710570,송파구오금동
송파구,송파1동,11710580,송파구송파1동
송파구,송파2동,11710590,송파구송파2동
송파구,석촌동,11710600,송파구석촌동
송파구,삼전동,11710610,송파구삼전동
송파구,가락본동,11710620,송파구가락본동
송파구,가락1동,11710631,송파구가락1동
송파구,가락2동,11710632,송파구가락2동
송파구,문정1동,11710641,송파구문정1동
송파구,문정2동,11710642,송파구문정2동
송파구,잠실본동,11710650,송파구잠실본동
송파구,잠실4동,11710690,송파구잠실4동
송파구,잠실6동,11710710,송파구잠실6동
송파구,잠실7동,11710720,송파구잠실7동
송파구,잠실2동,11710670,송파구잠실2동
송파구,잠실3동,11710680,송파구잠실3동
송파구,장지동,11710646,송파구장지동
송파구,위례동,11710647,송파구위례동
강동구,강일동,11740515,강동구강일동
강동구,상일동,11740520,강동구상일동
강동구,명일1동,11740530,강동구명일1동
강동구,명일2동,11740540,강동구명일2동
강동구,고덕1동,11740550,강동구고덕1동
강동구,고덕2동,11740560,강동구고덕2동
강동구,암사2동,11740580,강동구암사2동
강동구,암사3동,11740590,강동구암사3동
강동구,천호1동,11740600,강동구천호1동
강동구,천호3동,11740620,강동구천호3동
강동구,성내1동,11740640,강동구성내1동
강동구,성내2동,11740650,강동구성내2동
강동구,성내3동,11740660,강동구성내3동
강동구,둔촌1동,11740690,강동구둔촌1동
강동구,둔촌2동,11740700,강동구둔촌2동
강동구,암사1동,11740570,강동구암사1동
강동구,천호2동,11740610,강동구천호2동
강동구,길동,11740685,강동구길동
