행정동코드,행정동명,시간대구분,총생활인구수평균,60-64세,65세-69세,70세이상,노인(65세이상)생활인구수
11305555,송천동,저녁,27442.79143,1007.744047,818.1273762,1356.868298,2174.995674
11305555,송천동,밤,27872.53214,1002.77225,820.3568877,1341.573472,2161.93036
11305575,삼각산동,새벽,27714.32716,747.8727014,636.6293812,971.2747806,1607.904162
11305575,삼각산동,아침,25536.39399,683.0533273,584.0142279,895.9454614,1479.959689
11305575,삼각산동,낮,20558.20161,536.8027595,481.8086005,752.6989147,1234.507515
11305575,삼각산동,저녁,21888.5751,596.688135,527.2918203,823.7350213,1351.026842
11305575,삼각산동,밤,25829.22617,706.5512509,596.7525231,918.4042976,1515.156821
11305645,우이동,새벽,20871.41105,750.438886,607.7865086,989.9635876,1597.750096
11305645,우이동,아침,20205.20421,726.2651612,587.2018443,977.8525351,1565.054379
11305645,우이동,낮,18212.5382,710.3759203,565.6767754,942.6745048,1508.35128
11305645,우이동,저녁,17590.36409,664.2910831,532.966602,911.7029734,1444.669575
11305645,우이동,밤,19340.31818,703.4580865,570.6203293,956.6817028,1527.302032
11305660,인수동,새벽,32964.21224,1228.887544,956.4390651,1565.796133,2522.235198
11305660,인수동,아침,31279.87867,1113.703501,884.4731219,1485.569741,2370.042863
11305660,인수동,낮,27130.6314,954.5980728,777.2688955,1310.784475,2088.053371
11305660,인수동,저녁,27660.04941,1035.323678,834.3847513,1375.51619,2209.900941
11305660,인수동,밤,30978.29089,1166.450186,911.4537414,1485.063842,2396.517583
11320660,쌍문1동,새벽,18518.12601,733.6971059,520.3240659,819.2035624,1339.527628
11320660,쌍문1동,아침,17690.49235,677.1888384,492.7605382,787.3473374,1280.107876
11320660,쌍문1동,낮,16130.3128,599.2543688,467.4409796,741.2840921,1208.725072
11320660,쌍문1동,저녁,16832.10408,667.5091834,516.2360358,811.6099191,1327.845955
11320660,쌍문1동,밤,18135.72934,724.8560123,527.3701448,830.1052891,1357.475434
11320670,쌍문2동,새벽,20317.91903,836.3244059,570.9031241,850.6789169,1421.582041
11320670,쌍문2동,아침,19262.8272,772.7484901,542.3470524,813.2868824,1355.633935
11320670,쌍문2동,낮,17040.27586,672.8251456,486.4267972,741.6212081,1228.048005
11320670,쌍문2동,저녁,18163.22452,742.2558052,525.615745,792.1051261,1317.720871
11320670,쌍문2동,밤,20009.06094,823.941286,567.3053623,847.0071022,1414.312465
11320680,쌍문3동,새벽,15755.32985,576.26552,394.297239,611.6121936,1005.909433
11320680,쌍문3동,아침,16046.52937,574.2256959,395.0279881,608.5479911,1003.575979
11320680,쌍문3동,낮,14908.98375,534.4354885,393.4395034,622.1708503,1015.610354
11320680,쌍문3동,저녁,15991.50171,593.5186768,431.5444074,679.251094,1110.795501
11320680,쌍문3동,밤,16444.6434,602.1364019,423.7837431,664.140159,1087.923902
11320681,쌍문4동,새벽,15722.54262,657.5533513,427.6399254,598.0615006,1025.701426
