자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
서초구,수영장,신동교육문화회관 수영장,서초구 잠원동 나루터로 27,37.516385,127.012431,-,,-,유,실내,-
서초구,수영장,서초종합체육관 수영장,서초구 원지동 28,37.459058,127.041729,572-6131,25m x 6레인,http://yj.sporex.com/,유,실내,-
서초구,골프연습장,반포종합운동장 체육센터 골프연습장,서초구 신반포로 16길 30,37.500126,126.995929,593-1330,16타석,http://www.seocho.go.kr/,유,실내,반포종합운동장 반포2동 공영주차장 등 이용
서초구,골프연습장,서초구민체육센터 골프연습장,서초구 사평대로 55,37.5068585,127.0215598,591-6060,총 18석,http://www.seochoymca.com/,유,실내,주차 가능
서초구,골프연습장,언남문화체육센터 골프연습장,서초구 동산로 13길 35,37.472451,127.043345,577-7718,,http://www.3ful.com/,유,실내,회원 1종목 150분 무료 2종목 이상 180분 무료 초과 10분당 300원
서초구,골프연습장,방배열린문화센터 골프연습장,서울 서초구 방배로 173 ,37.4889095,126.9922476,535-2601,총 14개 타석,http://bb.sporex.com,유,실내,10분당 300원(109면)
서초구,테니스장,잠원 스포츠파크 테니스장,서초구 신반포로 23길 66,37.510996,127.005216,533-7508,3면,http://www.jwsports.co.kr/,유,실내,주차 가능
서대문구,구기체육관,궁동산체육관,서대문구 연희로11마길 86-47,37.5714502,126.9253081,330-1130,배드민턴(5면),http://www.sscmc.or.kr/,유,실내,주차 가능
서대문구,생활체육관,서대문청소년수련관 체육관,서대문구 연희로32길 129,37.579204,126.937944,334-0080,,http://www.fun1318.or.kr/,유,실내,-
서대문구,수영장,서대문문화체육회관 수영장,서대문구 백련사길 39,37.581584,126.931969,330-1130,7레인,http://www.sscmc.or.kr/,유,실내,30분당 1000원
서대문구,수영장,서대문청소년수련관 수영장,서대문구 연희로32길 129,37.579204,126.937944,334-0080,,http://www.fun1318.or.kr/,유,실내,-
서대문구,골프연습장,서대문문화체육회관 골프연습장,서대문구 백련사길 39,37.581584,126.931969,330-1130,8개 타석,http://www.sscmc.or.kr/,유,실내,30분당 1000원
서대문구,배드민턴장,금화배드민턴장,서대문구 봉원동 산3-8,37.5699572,126.9473163,330-1129,5면,-,무,실내,-
서대문구,배드민턴장,홍제배드민턴장,서대문구 홍제동 280-9,37.5949801,126.949274,330-1130,6면,-,무,실내,-
서대문구,생활체육관,서대문문화체육회관,서대문구 백련사길 39,37.581584,126.931969,330-1130,,http://www.sscmc.or.kr/,유,실내,30분당 1000원
마포구,생활체육관,마포구민체육센터,마포구 망원동 450-3,37.556726,126.897139,324-7800,,http://www.maposc.or.kr/,유,실내,주차 가능(57면)
마포구,생활체육관,염리생활체육관,마포구 염리동 174-3,37.5419184,126.94518,3272-9401,1811㎡,http://mapogym.or.kr/,유,실내,주차 가능(14면)
마포구,생활체육관,성미산체육관,마포구 성산동 산12-1,37.562633,126.911946,324-9877,,http://mapogym.or.kr/,유,실내,주차 가능(14면)
마포구,생활체육관,마포주민편익시설,마포구 월드컵로 25길 190,37.557815,126.9041813,374-0400,,http://www.mfmc.or.kr,유,실내,주차 가능(30면)
마포구,생활체육관,창천스포츠센터,마포구 백범로 1길 56,37.5548546,126.9393201,714-9633,,www.ccsports.co.kr ,유,실내,회원 2시간 30분 무료
마포구,생활체육관,한국우진학교,마포구 월드컵북로 38길 21,37.5710794,126.9036093,304-6255,,http://www.woojin.sc.kr/,유,실내,-
마포구,생활체육관,마포아트센터 체육관,마포구 대흥로 20길 28,37.549821,126.94552,3274-8500,1038㎡,http://www.mapoartcenter.or.kr/,유,실내,기본 30분 1000원 초과 10분당 500원
마포구,생활체육관,마포청소년수련관 체육관,마포구 성산동 월드컵로 212,37.566606,126.901833,3153-5900,,http://www.youthnaroo.or.kr/,유,실내,
마포구,수영장,마포아트센터 수영장,마포구 대흥로 20길 28,37.549821,126.94552,3274-8500,25m*13m 6레인,http://www.mapoartcenter.or.kr/,유,실내,기본 30분 1000원 초과 10분당 500원
