자치구,분류,시설명,x좌표,y좌표
용산구,학교체육시설,원효초등학교,126.951767,37.536034
용산구,축구장,효창운동장,126.961127,37.54339
용산구,축구장,이촌한강공원 축구장,126.970219,37.517711
용산구,축구장,이촌한강공원 거북축구장,126.971555,37.517396
용산구,축구장,이촌한강공원 축구교육장,126.970216,37.51771
용산구,게이트볼장,이촌한강공원,126.9597682,37.5219225
용산구,테니스장,이촌한강공원,126.985271,37.516459
용산구,족구장,이촌한강공원,126.9648856,37.5201563
용산구,농구장,이촌한강공원,126.9648856,37.5201563
용산구,배구장,이촌한강공원,126.985271,37.515693
용산구,인라인스케이트장,이촌한강공원1,126.973162,37.516459
용산구,인라인스케이트장,이촌한강공원2,126.973162,37.516459
용산구,테니스장,응봉근린공원 한남테니스장,127.00393,37.546854
용산구,배드민턴장,효창공원 배드민턴장,126.962475,37.544758
용산구,게이트볼장,효창공원 게이트볼장,126.9597415,37.5450249
용산구,게이트볼장,청파3가 게이트볼장,126.965976,37.543423
영등포구,축구장,영롱이 갈대2구장,126.886243,37.543672
영등포구,축구장,영롱이 갈대1구장,126.8813009,37.5179868
영등포구,학교체육시설,선유중학교,126.894325,37.532881
영등포구,축구장,양화한강공원 축구장,126.902254,37.538351
영등포구,축구장,영롱이 억새3구장,126.880755,37.521468
영등포구,배드민턴장,도림2동유수지내체육시설,126.89735,37.506794
영등포구,클라이밍장,도림2동유수지내체육시설,126.89735,37.506794
영등포구,족구장,오목교족구장,126.8805578,37.5249456
영등포구,빙상장,여의 아이스파크,126.9223229,37.5268082
영등포구,학교체육시설,여의도중학교,126.935828,37.523907
영등포구,족구장,도림2동유수지내체육시설,126.89735,37.506794
영등포구,풋살장,영등포공원 풋살경기장,126.9122002,37.5157786
영등포구,수영장,여의도 한강공원 수영장,126.920543,37.533493
영등포구,골프연습장,여의도 한강공원 파크골프장,126.942753,37.51919
영등포구,테니스장,대림체육공원 테니스장,126.895196,37.504335
영등포구,축구장,대림체육공원 축구장,126.895196,37.504335
영등포구,농구장,대림체육공원 농구장,126.895196,37.504335
영등포구,배드민턴장,대림체육공원 배드민턴장,126.895196,37.504335
영등포구,배구장,양화한강공원 배구장,126.902254,37.538351
영등포구,농구장,양화한강공원 농구장,126.902254,37.538351
영등포구,풋살장,성산대교풋살장,126.8882346,37.546533
영등포구,축구장,영롱이 억새1구장,126.880755,37.519267
영등포구,축구장,영롱이 억새2구장,126.880725,37.520316
영등포구,축구장,대림운동장 인조잔디구장,126.8948104,37.4996112
영등포구,축구장,영롱이 갈대3구장,126.886752,37.542727
양천구,축구장,목동다목적경기장,126.8800082,37.5283271
양천구,인라인스케이트장,안양천체육생태공원 인라인스케이트장,126.879192,37.52041
양천구,농구장,안양천체육생태공원 농구장,126.879192,37.52041
양천구,간이운동장,해누리체육공원,126.8800082,37.5283271
양천구,학교체육시설,신목고등학교,126.873574,37.512802
양천구,학교체육시설,정목초등학교,126.870291,37.537273
양천구,족구장,안양천체육생태공원 족구장,126.879192,37.52041
양천구,야구장,안양천체육생태공원 야구장,126.879192,37.52041
양천구,골프연습장,안양천체육생태공원 파크골프장,126.885243,37.54164
양천구,테니스장,목동테니스장,126.8785006,37.5286789
양천구,족구장,오목교족구장,126.8805578,37.5249456
양천구,야구장,목동야구장,126.8810483,37.5305809
양천구,야구장,신월야구장,126.8267642,37.5303487
양천구,다목적운동장,용왕산근린공원 다목적운동장,126.8779655,37.5436283
