행정동코드,행정동,경로당수,복지시설수,총노인시설수,읍면동명칭,읍면동코드,,
1124080,잠실3동,6,0,6,잠실3동,1124080,TRUE,TRUE
1124070,장지동,15,1,16,장지동,1124081,TRUE,FALSE
,,,,,위례동,1124082,FALSE,FALSE
1125051,강일동,12,0,12,강일동,1125051,TRUE,TRUE
1125052,상일동,8,0,8,상일동,1125052,TRUE,TRUE
1125053,명일1동,4,0,4,명일1동,1125053,TRUE,TRUE
1125054,명일2동,9,1,10,명일2동,1125054,TRUE,TRUE
1125055,고덕1동,9,1,10,고덕1동,1125055,TRUE,TRUE
1125056,고덕2동,3,0,3,고덕2동,1125056,TRUE,TRUE
1125058,암사2동,2,0,2,암사2동,1125058,TRUE,TRUE
1125059,암사3동,11,0,11,암사3동,1125059,TRUE,TRUE
1125061,천호1동,5,0,5,천호1동,1125061,TRUE,TRUE
1125063,천호3동,4,0,4,천호3동,1125063,TRUE,TRUE
1125065,성내1동,12,0,12,성내1동,1125065,TRUE,TRUE
1125066,성내2동,3,0,3,성내2동,1125066,TRUE,TRUE
1125067,성내3동,1,0,1,성내3동,1125067,TRUE,TRUE
1125070,둔촌1동,8,0,8,둔촌1동,1125070,TRUE,TRUE
1125071,둔촌2동,6,0,6,둔촌2동,1125071,TRUE,TRUE
1125072,암사1동,9,0,9,암사1동,1125072,TRUE,TRUE
1125073,천호2동,14,1,15,천호2동,1125073,TRUE,TRUE
1125074,길동,9,0,9,길동,1125074,TRUE,TRUE
