행정동코드,행정동,경로당수,복지시설수,총노인시설수,읍면동명칭,읍면동코드,,
1108061,보문동,6,1,7,보문동,1108061,TRUE,TRUE
1108062,정릉1동,9,0,9,정릉1동,1108062,TRUE,TRUE
1108063,정릉2동,10,1,11,정릉2동,1108063,TRUE,TRUE
1108064,정릉3동,3,0,3,정릉3동,1108064,TRUE,TRUE
1108065,정릉4동,13,0,13,정릉4동,1108065,TRUE,TRUE
1108066,길음1동,13,0,13,길음1동,1108066,TRUE,TRUE
1108068,길음2동,5,0,5,길음2동,1108068,TRUE,TRUE
1108071,월곡1동,9,0,9,월곡1동,1108071,TRUE,TRUE
1108072,월곡2동,6,1,7,월곡2동,1108072,TRUE,TRUE
1108076,장위1동,5,0,5,장위1동,1108076,TRUE,TRUE
1108077,장위2동,1,0,1,장위2동,1108077,TRUE,TRUE
1108078,장위3동,4,1,5,장위3동,1108078,TRUE,TRUE
1108081,성북동,4,0,4,성북동,1108081,TRUE,TRUE
1108082,삼선동,7,1,8,삼선동,1108082,TRUE,TRUE
1108083,동선동,4,0,4,동선동,1108083,TRUE,TRUE
1108084,종암동,15,1,16,종암동,1108084,TRUE,TRUE
1108085,석관동,8,1,9,석관동,1108085,TRUE,TRUE
1109060,번1동,6,0,6,번1동,1109060,TRUE,TRUE
1109061,번2동,10,0,10,번2동,1109061,TRUE,TRUE
1109062,번3동,13,0,13,번3동,1109062,TRUE,TRUE
1109063,수유1동,5,0,5,수유1동,1109063,TRUE,TRUE
1109064,수유2동,5,0,5,수유2동,1109064,TRUE,TRUE
1109065,수유3동,4,0,4,수유3동,1109065,TRUE,TRUE
1109069,삼양동,14,0,14,삼양동,1109069,TRUE,TRUE
1109070,미아동,7,0,7,미아동,1109070,TRUE,TRUE
1109071,송중동,6,0,6,송중동,1109071,TRUE,TRUE
1109072,송천동,10,0,10,송천동,1109072,TRUE,TRUE
1109073,삼각산동,5,0,5,삼각산동,1109073,TRUE,TRUE
1109074,우이동,4,0,4,우이동,1109074,TRUE,TRUE
1109075,인수동,7,1,8,인수동,1109075,TRUE,TRUE
1110051,쌍문1동,13,1,14,쌍문1동,1110051,TRUE,TRUE
1110052,쌍문2동,7,1,8,쌍문2동,1110052,TRUE,TRUE
1110053,쌍문3동,7,0,7,쌍문3동,1110053,TRUE,TRUE
1110054,쌍문4동,11,0,11,쌍문4동,1110054,TRUE,TRUE
1110055,방학1동,11,0,11,방학1동,1110055,TRUE,TRUE
1110056,방학2동,4,1,5,방학2동,1110056,TRUE,TRUE
1110057,방학3동,16,0,16,방학3동,1110057,TRUE,TRUE
1110059,창1동,6,0,6,창1동,1110059,TRUE,TRUE
1110060,창2동,7,0,7,창2동,1110060,TRUE,TRUE
1110061,창3동,5,1,6,창3동,1110061,TRUE,TRUE
1110062,창4동,8,0,8,창4동,1110062,TRUE,TRUE
1110063,창5동,12,0,12,창5동,1110063,TRUE,TRUE
1110064,도봉1동,10,1,11,도봉1동,1110064,TRUE,TRUE
1110065,도봉2동,14,0,14,도봉2동,1110065,TRUE,TRUE
1111051,월계1동,17,1,18,월계1동,1111051,TRUE,TRUE
1111052,월계2동,7,0,7,월계2동,1111052,TRUE,TRUE
1111053,월계3동,11,0,11,월계3동,1111053,TRUE,TRUE
