행정동코드,행정동,복지시설수
1112072,불광2동,0
1112071,진관동,1
1112068,수색동,0
1112067,증산동,0
1112066,신사2동,1
1112065,신사1동,0
1112060,응암2동,0
1112059,응암1동,0
1112058,대조동,1
1112057,구산동,0
1112056,갈현2동,0
1112055,갈현1동,1
1112052,불광1동,1
1112051,녹번동,0
1111078,중계2·3동,0
1111077,상계6·7동,0
1111076,상계3·4동,0
1111075,공릉1·3동,0
1111074,상계10동,0
1111073,상계9동,0
1111072,상계8동,0
1111069,상계5동,0
1111066,상계2동,1
1111065,상계1동,0
1111064,중계4동,0
1111061,중계1동,0
1111060,중계본동,0
1111059,하계2동,0
1111058,하계1동,1
1111056,공릉2동,1
1111053,월계3동,0
1111052,월계2동,0
1111051,월계1동,1
1110065,도봉2동,0
1110064,도봉1동,1
1110063,창5동,0
1110062,창4동,0
1110061,창3동,1
1110060,창2동,0
1110059,창1동,0
1110057,방학3동,0
1110056,방학2동,1
1110055,방학1동,0
1110054,쌍문4동,0
1110053,쌍문3동,0
1110052,쌍문2동,1
1110051,쌍문1동,1
1109075,인수동,1
1109074,우이동,0
1109073,삼각산동,0
1109072,송천동,0
1109071,송중동,0
1109070,미아동,0
1109069,삼양동,0
1109065,수유3동,0
1109064,수유2동,0
1109063,수유1동,0
1109062,번3동,0
1109061,번2동,0
1109060,번1동,0
1108085,석관동,1
1108084,종암동,1
1108083,동선동,0
1108082,삼선동,1
1108081,성북동,0
1108078,장위3동,1
1108077,장위2동,0
1108076,장위1동,0
1108072,월곡2동,1
1108071,월곡1동,0
1108068,길음2동,0
1108066,길음1동,0
1108065,정릉4동,0
1108064,정릉3동,0
1108063,정릉2동,1
1108062,정릉1동,0
1108061,보문동,1
1108060,안암동,0
1108059,돈암2동,0
1108058,돈암1동,0
1107073,망우본동,0
1107072,면목3·8동,1
1107071,면목본동,0
1107070,신내2동,1
1107069,신내1동,1
1107068,망우3동,0
1107065,묵2동,0
1107064,묵1동,0
1107062,중화2동,0
1107061,중화1동,1
1107060,상봉2동,0
1107059,상봉1동,0
1107057,면목7동,0
1107055,면목5동,0
1107054,면목4동,0
1107052,면목2동,1
1106090,이문2동,0
1106089,이문1동,0
1106088,장안2동,0
1106087,장안1동,0
1106086,답십리2동,0
1106085,답십리1동,0
1106084,전농2동,0
1106083,전농1동,0
1106082,제기동,0
1106081,용신동,0
1106080,청량리동,1
1106073,휘경2동,0
1106072,휘경1동,0
1106071,회기동,0
1105067,자양4동,0
1105066,자양3동,0
1105065,자양2동,0
1105064,자양1동,0
1105063,광장동,0
1105062,구의3동,0
1105061,구의2동,0
1105060,구의1동,0
1105059,능동,0
1105058,중곡4동,0
1105057,중곡3동,0
1105056,중곡2동,0
1105055,중곡1동,0
1105054,군자동,1
1105053,화양동,0
1104073,옥수동,0
1104072,금호2·3가동,0
1104071,왕십리도선동,1
1104070,용답동,0
1104069,송정동,0
1104068,성수2가3동,0
1104067,성수2가1동,0
1104066,성수1가2동,1
1104065,성수1가1동,0
1104062,금호4가동,0
1104059,금호1가동,0
1104058,응봉동,0
1104057,행당2동,0
1104056,행당1동,0
1104055,사근동,1
1104054,마장동,1
1104052,왕십리2동,0
1103074,한남동,1
1103073,한강로동,0
1103072,원효로1동,0
1103071,청파동,1
1103070,보광동,0
1103069,서빙고동,0
1103066,이태원2동,0
1103065,이태원1동,0
1103064,이촌2동,0
1103063,이촌1동,0
1103059,용문동,0
1103058,효창동,0
1103057,원효로2동,0
1103053,남영동,0
1103052,용산2가동,0
1103051,후암동,0
1102068,중림동,0
1102067,황학동,0
1102066,신당6동,0
1102065,신당5동,0
1102064,신당4동,1
1102063,신당3동,1
1102062,신당2동,0
1102061,신당1동,0
1102060,을지로동,0
1102059,광희동,0
1102058,장충동,0
1102057,필동,0
1102055,명동,0
1102054,회현동,0
1102052,소공동,0
1101072,청운효자동,0
1101071,숭인2동,0
1101070,숭인1동,0
1101069,창신3동,0
1101068,창신2동,0
1101067,창신1동,0
1101066,명륜3가동,0
1101065,혜화동,0
1101064,이화동,1
1101063,종로5·6가동,0
1101061,종로1·2·3·4가동,1
1101060,가회동,0
1101058,교남동,0
1101057,무악동,0
1101056,평창동,0
1101055,부암동,0
1101054,삼청동,0
1101053,사직동,0
